,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,waterheight
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.905669844,1,0.997706422,0.973716836,0.297009042,0.99908341,1,1,1,1,1,0.734418922,0.62070805,0.702832916,0.804527901,0.915231341,0.924974714,0.99415117,0.999688279,0.998543218,1,1,0.972358069,0.981491274,0.540291051,0.928571429,0.975104649,0.999741535,1,1,1,0.984946237,0.669250646,0.965,1,1,1,1,1,0.999464381,0.998664632,1,1,1,1,1,1,1,0.968715084,0.925946548,0.867538126,0.787835744,0.839996139,1,0.799475956,0.786908296,0.76713188,0.737225097,0.725132148,0.732968009,0.711074725,0.508060298,0.544029142,0.863502021,1,0.995295063,0.148745998,1,0.940003834,0.997766195,1,1,1,0.961692396,1,1,-300
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.905669844,1,0.997706422,0.973468882,0.297009042,0.99908341,1,1,1,1,1,0.731441593,0.619786615,0.702447485,0.804332009,0.915231341,0.923940813,0.99385123,0.999688279,0.998543218,1,1,0.972358069,0.981491274,0.539422242,0.9276365,0.975104649,0.999483071,1,1,1,0.984946237,0.669250646,0.965,1,1,1,1,1,0.999464381,0.998473865,1,1,1,1,1,1,1,0.968156425,0.925389755,0.866666667,0.786415289,0.83968903,1,0.799167694,0.786908296,0.766975067,0.737063389,0.724971969,0.732968009,0.710777017,0.507299444,0.542603738,0.861824041,1,0.995295063,0.148479189,1,0.939716312,0.997766195,1,1,1,0.96112064,1,1,-299
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.905669844,1,0.997706422,0.973220927,0.296777185,0.99908341,1,1,1,1,1,0.728946624,0.619010669,0.701869339,0.804024179,0.915231341,0.922809515,0.99385123,0.999532419,0.998543218,1,1,0.972358069,0.98138551,0.538336229,0.927075542,0.974664023,0.999483071,1,1,1,0.984946237,0.669250646,0.964722222,1,1,1,1,1,0.999464381,0.998473865,1,1,1,1,1,1,1,0.968156425,0.924276169,0.865795207,0.785769628,0.839338048,1,0.798859433,0.786908296,0.766818253,0.737063389,0.724811789,0.732968009,0.710628163,0.507061677,0.541019956,0.859974449,1,0.995266374,0.14821238,1,0.938853747,0.997766195,1,1,1,0.960191538,1,1,-298
4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.905669844,1,0.997706422,0.972477064,0.296777185,0.99908341,1,1,1,1,1,0.725869497,0.61842871,0.701676624,0.803716349,0.914893617,0.921693201,0.99370126,0.999532419,0.998543218,1,1,0.972358069,0.98138551,0.537576021,0.926514585,0.97444371,0.999224606,1,1,1,0.984946237,0.669250646,0.964444444,1,1,1,1,1,0.999438876,0.998473865,1,1,1,1,1,1,1,0.967597765,0.923719376,0.864488017,0.784478306,0.838987066,1,0.798705302,0.78675207,0.766504626,0.737063389,0.72449143,0.732819905,0.710330455,0.505825289,0.538644283,0.858429944,1,0.995266374,0.147945571,1,0.938662066,0.997766195,1,1,1,0.959619783,1,1,-297
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.905669844,1,0.997706422,0.972477064,0.296545328,0.99908341,1,1,1,1,1,0.7229587,0.617264791,0.701098478,0.803520457,0.914893617,0.92077168,0.99370126,0.999532419,0.998543218,1,1,0.972358069,0.98138551,0.536707211,0.926140613,0.974223397,0.999224606,1,1,1,0.984946237,0.669250646,0.964166667,1,1,1,1,1,0.99941337,0.998473865,1,1,1,1,1,1,1,0.967597765,0.923719376,0.864488017,0.782541322,0.838758928,1,0.798551171,0.78675207,0.766347812,0.737063389,0.72449143,0.732819905,0.709883894,0.505444862,0.537852392,0.856990313,1,0.995266374,0.147812166,1,0.938566226,0.997766195,1,1,1,0.959119497,1,1,-296
6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.905669844,1,0.997706422,0.972477064,0.296313471,0.99908341,1,1,1,1,1,0.72008117,0.616391853,0.701098478,0.803184642,0.914893617,0.919782731,0.99340132,0.999532419,0.998543218,1,1,0.972358069,0.98138551,0.53486099,0.925953628,0.974003084,0.999224606,1,1,1,0.984946237,0.669250646,0.964166667,1,1,1,1,1,0.999400617,0.998473865,1,1,1,1,1,1,1,0.967597765,0.923719376,0.863180828,0.781637397,0.838495692,1,0.798397041,0.78675207,0.766347812,0.737063389,0.724171072,0.732819905,0.70973504,0.505111988,0.536110231,0.855560217,1,0.995266374,0.147278549,1,0.938374545,0.997766195,1,1,1,0.958476272,1,1,-295
7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.905168088,1,0.997706422,0.971981155,0.296081614,0.99908341,1,1,1,1,1,0.716588214,0.615276431,0.700327616,0.802904797,0.914893617,0.918966099,0.99325135,0.999376559,0.998543218,1,1,0.972358069,0.98138551,0.533449175,0.925766642,0.973562459,0.999224606,1,1,1,0.984946237,0.669250646,0.963055556,1,1,1,1,1,0.999400617,0.998473865,1,1,1,1,1,1,1,0.967597765,0.922048998,0.859694989,0.780475207,0.838206132,1,0.79824291,0.78675207,0.766347812,0.737063389,0.724010892,0.732671801,0.709139625,0.504731561,0.535001584,0.854158722,1,0.995266374,0.14701174,1,0.938087023,0.997766195,1,1,1,0.957761578,1,1,-294
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.905168088,1,0.997706422,0.971733201,0.296081614,0.99908341,1,1,1,1,1,0.713843748,0.613676043,0.700134901,0.802736889,0.914893617,0.917917213,0.99325135,0.999376559,0.998543218,1,1,0.971932809,0.981173982,0.532254561,0.92539267,0.973342146,0.999224606,1,1,1,0.984946237,0.669250646,0.9625,1,1,1,1,1,0.999375112,0.998473865,1,1,1,1,1,1,1,0.967597765,0.920935412,0.859259259,0.779054752,0.837925346,1,0.79824291,0.78675207,0.766034185,0.737063389,0.724010892,0.732523697,0.70854421,0.504065814,0.532942667,0.852966974,1,0.995266374,0.146744931,1,0.937607821,0.997766195,1,1,1,0.957332762,1,1,-293
9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.905168088,1,0.997706422,0.971733201,0.295849757,0.99908341,1,1,1,1,1,0.710966218,0.612221145,0.699942185,0.802457044,0.914893617,0.916830867,0.99295141,0.999376559,0.998543218,1,1,0.971932809,0.981173982,0.530625543,0.925018699,0.972240582,0.999224606,1,1,1,0.984946237,0.669250646,0.962222222,1,1,1,1,1,0.999362359,0.998092331,1,1,1,1,1,1,1,0.967597765,0.919821826,0.85795207,0.777376033,0.837548041,1,0.798088779,0.786439619,0.766034185,0.737063389,0.724010892,0.732523697,0.708395356,0.503400067,0.532625911,0.851641751,1,0.995237685,0.146478122,1,0.937128618,0.997766195,1,1,1,0.956546598,1,1,-292
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.905168088,1,0.997706422,0.971485247,0.295849757,0.99908341,1,1,1,1,1,0.707955623,0.611057226,0.699364039,0.802317121,0.914555893,0.915669601,0.99280144,0.999376559,0.998543218,1,1,0.971932809,0.981173982,0.530082537,0.924644727,0.971799956,0.999224606,1,1,1,0.984946237,0.669250646,0.962222222,1,1,1,1,1,0.999362359,0.998092331,1,1,1,1,1,1,1,0.967597765,0.919265033,0.85708061,0.776084711,0.837328677,1,0.797934649,0.786439619,0.765877372,0.737063389,0.724010892,0.732523697,0.707948794,0.50301964,0.531517263,0.850049577,1,0.995237685,0.146211313,1,0.936745256,0.997766195,1,1,1,0.956046312,1,1,-291
